2023-02-02 21:02:569 INFO  EligibilityChecker :96 - Clicking on 'I'm OK with analytics cookies'
2023-02-02 21:02:21 INFO  EligibilityChecker :101 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:759 INFO  EligibilityChecker :105 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='radio-wales']]
2023-02-02 21:02:905 INFO  EligibilityChecker :109 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:685 INFO  EligibilityChecker :113 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='radio-yes']]
2023-02-02 21:02:837 INFO  EligibilityChecker :117 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:490 INFO  EligibilityChecker :121 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='radio-wales']]
2023-02-02 21:02:620 INFO  EligibilityChecker :125 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:327 INFO  EligibilityChecker :129 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='dob-day']]
2023-02-02 21:02:686 INFO  EligibilityChecker :133 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='dob-month']]
2023-02-02 21:02:848 INFO  EligibilityChecker :137 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='dob-year']]
2023-02-02 21:02:994 INFO  EligibilityChecker :141 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:647 INFO  EligibilityChecker :145 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (6676fd1eb3749ac925464aa0754da525)] -> xpath: //input[@id='radio-yes']]
